Node,X,Y
2299,207.058,133.426
2300,270.987,153.825
2301,251.135,151.185
2302,229.528,154.873
2303,214.531,145.134
2304,280.945,86.216
2305,255.42,102.141
2306,250.708,98.886
2307,206.689,132.443
2308,270.830999,153.981
2309,251.207,151.982
2310,229.624,155.047
2311,213.379,145.348
2312,280.501,86.305
2313,255.733,101.985
2314,250.36,98.851
2315,206.484,131.625
2316,270.701,154.033
2317,253,156.437
2318,229.798,155.22
2319,213.686,153.274
2320,212.525,145.507
2321,280.087001,86.285
2322,246.465,98.903
2323,206.361,130.765
2324,270.208001,154.059
2325,230.01,155.317
2326,218,156.437
2327,218,156.437
2328,211.918,145.811
2329,279.522,86.251
2330,246.309,98.938
2331,206.313,129.942
2332,265,156.437
2333,230.203,155.336
2334,210.716,146.436
2335,277.400001,85.734
2336,246.1,98.99
2337,200.135,130.069
2338,206.321,128.923
2339,230.57,155.355
2340,210.025,146.926
2341,264.985,82.912
2342,245.996,99.147
2343,199.603,130.151
2344,206.122,121.481
2345,233,156.437
2346,209.141,147.787
2347,264.633,82.661
2348,245.943,99.355
2349,199.193,130.356
2350,212.938,121.299
2351,205.871,108.36
2352,208.71,148.435
2353,264.459,82.254
2354,245.943,99.877
2355,198.907,130.642
2356,217,117.437
2357,212.611,108.124
2358,205.781,105.352
2359,208.425,149.026
2360,264.522,81.715
2361,245,100.437
2362,245,100.437
2363,198.579,130.929
2364,217,111.437
2365,205.956,105.445
2366,205.73,102.483
2367,208.031,150.206
2368,266.293,74.262
2369,198.292,131.502
2370,206.05,105.539
2371,207.861,102.459
2372,205.697,101.049
2373,207.701,152.188
2374,266.363,74.027
2375,198.169,132.034
2376,206.073,105.75
2377,208.378001,102.436
2378,207.75,154.67
2379,266.386,73.976
2380,198.128,132.771
2381,206.026,105.915
2382,208.637,102.412
2383,207.85,158.088
2384,266.425,73.915
2385,198.402,140.198
2386,205.956,106.079
2387,208.872,102.342
2388,207.959,160.915
2389,266.487,73.876
2390,198.415,140.549
2391,205.814,106.126
2392,209.06,102.248
2393,214.021,160.646
2394,208.099,164.556
2395,266.565,73.836
2396,198.415,141.9
2397,204.85,106.244
2398,209.366,101.919
2399,218,161.437
2400,208.23,167.209
2401,266.655,73.831
2402,210.048,101.143
2403,208.489,173.118
2404,266.795,73.825
2405,210.518,100.532
2406,213.684,172.88
2407,208.564,174.813
2408,267.132,73.887
2409,210.777,100.273
2410,214.543,172.813
2411,213.729,173.738
2412,208.742,183.21
2413,267.913,74.038
2414,211.012,100.179
2415,220,171.437
2416,213.789,174.084
2417,208.813,185.655
2418,269.572,74.467
2419,211.318,100.132
2420,213.849,174.25
2421,208.876,187.777
2422,269.652,74.517
2423,213.717,100.109
2424,213.895,174.34
2425,208.974,190.348
2426,214.084,187.543
2427,269.697,74.605
2428,214.069,100.156
2429,214,174.401
2430,209.09,193.975
2431,208.485,190.368
2432,214.131,188.621
2433,215.163,187.496
2434,269.699,74.688
2435,214.234,100.226
2436,214.618,174.401
2437,209.206,196.714
2438,204.147,190.598
2439,214.178,188.774
2440,220,185.437
2441,269.686,74.797
2442,214.281,100.273
2443,219,176.437
2444,209.399,198.644
2445,203.418,190.627
2446,214.213,188.844
2447,269.301,76.424
2448,214.328,100.414
2449,209.669,200.534
2450,202.217,190.636
2451,214.354,188.891
2452,214.328,101.025
2453,209.9,202.541
2454,214.518,188.891
2455,217,105.437
2456,217,105.437
2457,210.184,203.744
2458,215.128,188.879
2459,210.827,206.245
2460,214.563,201.922
2461,220,190.437
2462,211.178,207.769
2463,214.993,201.763
2464,211.679,209.389
2465,215.216,201.683
2466,212.104,210.547
2467,215.725,201.588
2468,212.838,212.129
2469,220,198.437
2470,213.957,214.097
2471,214.806,215.409
2472,216.389,217.531
2473,220.99,213.457
2474,216.853,218.148
2475,216.45,217.738
2476,222.497,215.212
2477,223,208.437
2478,216.472,217.853
2479,227,212.437
2480,216.45,217.952
2481,216.434,218.196
2482,216.488,218.341
2483,216.595,218.463
2484,216.747,218.57
2485,216.969,218.647
2486,217.213,218.738
2487,217.404,218.845
2488,217.552,218.946
2489,220.195,221.92
2490,220.35,222.186
2491,220.417,222.43
2492,220.417,222.719
2493,220.283,222.985
2494,220.01,223.331
2495,216.476,227.013
2496,216.402,227.012
2497,216.359,227.001
2498,216.26,226.958
2499,216.14,226.892
2500,216.008,226.87
2501,215.943,226.892
2502,215.899,226.98
2503,215.899,227.133
2504,215.986,227.505
2505,216.074,227.833
