Mon, 07 SeMon, 07 Sep 2020 11:09:06 INFO Mon, 07 Sep 2020 11:09:07 INFO     Done!
Mon, 07 Sep 2020 11:09:07 INFO     Program started
Mon, 07 Sep 2020 11:09:07 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:07 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:07 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:07 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:07 INFO     Given testcase file found and selectMon, 07 Sep 2020 11:09:08 INFOMon, 07 Sep 2020 11:09:09 INFO     Done!
Mon, 07 Sep 2020 11:09:10 INFO     Program started
Mon, 07 Sep 2020 11:09:10 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:10 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:10 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:10 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:10 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:12 INFO     Done!
Mon, 07 Sep 2020 11:09:12 INFO     Program started
Mon, 07 Sep 2020 11:09:12 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:12 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:12 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:12 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:12 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:14 INFO     Done!
Mon, 07 Sep 2020 11:09:15 INFO     Program started
Mon, 07 Sep 2020 11:09:15 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:15 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:15 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:15 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:15 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:17 INFO     Done!
Mon, 07 Sep 2020 11:09:17 INFO     Program started
Mon, 07 Sep 2020 11:09:17 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:17 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:17 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:17 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:17 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:19 INFO     Done!
Mon, 07 Sep 2020 11:09:20 INFO     Program started
Mon, 07 Sep 2020 11:09:20 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:20 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:20 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:20 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:20 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:22 INFO     Done!
Mon, 07 Sep 2020 11:09:22 INFO     Program started
Mon, 07 Sep 2020 11:09:22 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:22 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:22 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:22 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:22 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:24 INFO     Done!
Mon, 07 Sep 2020 11:09:25 INFO     Program started
Mon, 07 Sep 2020 11:09:25 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:25 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:25 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:25 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:25 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:25 INFO     Program started
Mon, 07 Sep 2020 11:09:25 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:25 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:25 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:25 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:25 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:27 INFO     Done!
Mon, 07 Sep 2020 11:09:27 INFO     Program started
Mon, 07 Sep 2020 11:09:27 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:27 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:27 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:27 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:28 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:29 INFO     Done!
Mon, 07 Sep 2020 11:09:30 INFO     Program started
Mon, 07 Sep 2020 11:09:30 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:30 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:30 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:30 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:30 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:32 INMon, 07 Sep 2020 11:09:33 INFO     Done!
Mon, 07 Sep 2020 11:09:34 INFO     Program started
Mon, 07 Sep 2020 11:09:34 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:34 INFO     Testcase selected: /timeseries/EVDay01_mix1.xlsx
Mon, 07 Sep 2020 11:09:34 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:34 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:34 INFO     Given testcase file found and selectedMon, 07 Sep 2020 11:09:34 INMon, 07 Sep 20Mon, 07 Sep 2020 11:09:35 INFO     Program started
Mon, 07 Sep 2020 11:09:35 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:35 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:35 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:35 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:35 INFO     Given testcase file found and selecMon, 07 Sep 2020 11:09:35 INFO Mon, 07 Sep 2020 11:09:37 INFO     Done!
Mon, 07 Sep 2020 11:09:37 INFO     Program started
Mon, 07 Sep 2020 11:09:37 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:37 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:37 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:37 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:38 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:39 INFO     Done!
Mon, 07 Sep 2020 11:09:40 INFO     Program started
Mon, 07 Sep 2020 11:09:40 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:40 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:40 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:40 INFO     Given model file found and selected from the models library
Mon, 07 Sep 2020 11:09:40 INFO     Given testcase file found and selected from the testcase library
Mon, 07 Sep 2020 11:09:42 INFO     Done!
Mon, 07 Sep 2020 11:09:43 INFO     Program started
Mon, 07 Sep 2020 11:09:43 INFO     Solver selected: cplex
Mon, 07 Sep 2020 11:09:43 INFO     Testcase selected: /timeseries/EVDay01_mix5.xlsx
Mon, 07 Sep 2020 11:09:43 INFO     Model selected: EVScheduleV2G
Mon, 07 Sep 2020 11:09:43 INFO     Given model file found and selected from the models library
